Key,Source,Context,Changes,English,French,German,Klingon,Spanish
ulmModifiedWatermark,items,Item,<!-- ULM-MODIFIED ULM-MODIFIED ULM-MODIFIED -->,,,,,
RewardQuest_keyword,,Keywords,KgNone,"НОВОЕ ЗАДАНИЕ",,,,
treasure_elliannia,,Quest,KgNone,"Карта сокровищ Эллианы",,,,
treasure_elliannia_subtitle,,Quest,KgNone,"Карта сокровищ Эллианы",,,,
treasure_elliannia_offer,,Quest,KgNone,"Дорогой выживший,\nЕсли ты читаешь эту записку значит меня уже нет в живых, я спрятала свои запасы для тебя. Я отметила местоположение тайника на этой карте.\n\nУдачи тебе в поисках,\n Елиана",,,,
quest_scrap_ulmTurretBase,,Quest Info,KgNone,"Тренога для турели",,,,
quest_scrap_ulmTurretBase_subtitle,,Quest Info,KgNone,"Тренога для турели",,,,
quest_scrap_ulmTurretBase_desc,,Quest Info,KgNone,"Следующие компоненты будут извлечены на запчасти:\n\nДАТЧИК ДВИЖЕНИЯ: 1; Кованая сталь: 2; \nПодшипники: 2; КОРОТКАЯ ЖЕЛЕЗНАЯ ТРУБА: 6; \nПластиковые отходы: 10; Печатная плата: 1; \nЖК-экран: 1; ИЗОЛЯТОР: 1; \nРезистор: 3; Малый электродвигатель: 3; \nМедные провода: 5; Плавкий предохранитель: 1; ",,,,
quest_scrap_ulmTurretBase_offer,,Quest Info,KgNone,"После более тщательного изучения Следующие компоненты будут извлечены на запчасти:\n\nДАТЧИК ДВИЖЕНИЯ: 1; Кованая сталь: 2; \nПодшипники: 2; КОРОТКАЯ ЖЕЛЕЗНАЯ ТРУБА: 6; \nПластиковые отходы: 10; Печатная плата: 1; \nЖК-экран: 1; ИЗОЛЯТОР: 1; \nРезистор: 3; Малый электродвигатель: 3; \nМедные провода: 5; Плавкий предохранитель: 1; ",,,,
quest_scrap_ulmCircuitboard,,Quest Info,KgNone,"Печатная плата",,,,
quest_scrap_ulmCircuitboard_subtitle,,Quest Info,KgNone,"Печатная плата",,,,
quest_scrap_ulmCircuitboard_desc,,Quest Info,KgNone,"Следующие компоненты будут извлечены на запчасти:\n\nПластиковые отходы: 5; Кованая сталь: 1; \nМикросхема: 8; Плавкий предохранитель: 6; \nТранзистор: 20; Конденсаторы: 10; \nРезистор: 20; Медные провода: 1; ",,,,
quest_scrap_ulmCircuitboard_offer,,Quest Info,KgNone,"После более тщательного изучения Следующие компоненты будут извлечены на запчасти:\n\nПластиковые отходы: 5; Кованая сталь: 1; \nМикросхема: 8; Плавкий предохранитель: 6; \nТранзистор: 20; Конденсаторы: 10; \nРезистор: 20; Медные провода: 1; ",,,,
quest_scrap_ulmSolderingIron,,Quest Info,KgNone,"Паяльник",,,,
quest_scrap_ulmSolderingIron_subtitle,,Quest Info,KgNone,"Паяльник",,,,
quest_scrap_ulmSolderingIron_desc,,Quest Info,KgNone,"Следующие компоненты будут извлечены на запчасти:\n\nПластиковое волокно: 2; КОВАНОЕ ЖЕЛЕЗО: 3; \nМедный лом: 1; Медные провода: 2; ",,,,
quest_scrap_ulmSolderingIron_offer,,Quest Info,KgNone,"После более тщательного изучения Следующие компоненты будут извлечены на запчасти:\n\nПластиковое волокно: 2; КОВАНОЕ ЖЕЛЕЗО: 3; \nМедный лом: 1; Медные провода: 2; ",,,,
quest_scrap_ulmPlasticFilamentFabricator,,Quest Info,KgNone,"Изготовитель пластиковых волокн",,,,
quest_scrap_ulmPlasticFilamentFabricator_subtitle,,Quest Info,KgNone,"Изготовитель пластиковых волокн",,,,
quest_scrap_ulmPlasticFilamentFabricator_desc,,Quest Info,KgNone,"Следующие компоненты будут извлечены на запчасти:\n\nКОВАНАЯ СТАЛЬ: 8; Большой электромотор: 1; \nЖК-экран: 1; Печатная плата: 1; \nРезистор: 6; Транзистор: 12; \nКонденсаторы: 6; Плавкий предохранитель: 1; \nИЗОЛЯТОР: 1; Медные провода: 5; \nПереключатель: 1; ",,,,
quest_scrap_ulmPlasticFilamentFabricator_offer,,Quest Info,KgNone,"После более тщательного изучения Следующие компоненты будут извлечены на запчасти:\n\nКОВАНАЯ СТАЛЬ: 8; Большой электромотор: 1; \nЖК-экран: 1; Печатная плата: 1; \nРезистор: 6; Транзистор: 12; \nКонденсаторы: 6; Плавкий предохранитель: 1; \nИЗОЛЯТОР: 1; Медные провода: 5; \nПереключатель: 1; ",,,,
quest_scrap_ulm3DPrinter,,Quest Info,KgNone,"3D Принтер",,,,
quest_scrap_ulm3DPrinter_subtitle,,Quest Info,KgNone,"3D Принтер",,,,
quest_scrap_ulm3DPrinter_desc,,Quest Info,KgNone,"Следующие компоненты будут извлечены на запчасти:\n\nКОВАНАЯ СТАЛЬ: 4; Малый электродвигатель: 3; \nПластиковые отходы: 20; ЖК-экран: 1; \nПечатная плата: 1; Резистор: 6; \nТранзистор: 12; Конденсаторы: 6; \nПлавкий предохранитель: 1; ИЗОЛЯТОР: 1; \nМедные провода: 8; Переключатель: 1; ",,,,
quest_scrap_ulm3DPrinter_offer,,Quest Info,KgNone,"После более тщательного изучения Следующие компоненты будут извлечены на запчасти:\n\nКОВАНАЯ СТАЛЬ: 4; Малый электродвигатель: 3; \nПластиковые отходы: 20; ЖК-экран: 1; \nПечатная плата: 1; Резистор: 6; \nТранзистор: 12; Конденсаторы: 6; \nПлавкий предохранитель: 1; ИЗОЛЯТОР: 1; \nМедные провода: 8; Переключатель: 1; ",,,,
quest_scrap_ulmCNCRouter,,Quest Info,KgNone,"Фрезерный станок с ЧПУ",,,,
quest_scrap_ulmCNCRouter_subtitle,,Quest Info,KgNone,"Фрезерный станок с ЧПУ",,,,
quest_scrap_ulmCNCRouter_desc,,Quest Info,KgNone,"Следующие компоненты будут извлечены на запчасти:\n\nКОВАНАЯ СТАЛЬ: 10; Большой электромотор: 1; \nМалый электродвигатель: 3; Пластиковые отходы: 20; \nЖК-экран: 1; Печатная плата: 3; \nРезистор: 8; Конденсаторы: 8; \nПлавкий предохранитель: 1; ИЗОЛЯТОР: 1; \nМедные провода: 8; Переключатель: 1; ",,,,
quest_scrap_ulmCNCRouter_offer,,Quest Info,KgNone,"После более тщательного изучения Следующие компоненты будут извлечены на запчасти:\n\nКОВАНАЯ СТАЛЬ: 10; Большой электромотор: 1; \nМалый электродвигатель: 3; Пластиковые отходы: 20; \nЖК-экран: 1; Печатная плата: 3; \nРезистор: 8; Конденсаторы: 8; \nПлавкий предохранитель: 1; ИЗОЛЯТОР: 1; \nМедные провода: 8; Переключатель: 1; ",,,,
quest_scrap_ulmLens,,Quest Info,KgNone,"Станок для обработки линз",,,,
quest_scrap_ulmLens_subtitle,,Quest Info,KgNone,"Станок для обработки линз",,,,
quest_scrap_ulmLens_desc,,Quest Info,KgNone,"Следующие компоненты будут извлечены на запчасти:\n\nСТЕКЛОПАКЕТ: 2; КЛЕЙКАЯ ЛЕНТА: 1; \nПластиковые отходы: 5; ",,,,
quest_scrap_ulmLens_offer,,Quest Info,KgNone,"После более тщательного изучения Следующие компоненты будут извлечены на запчасти:\n\nСТЕКЛОПАКЕТ: 2; КЛЕЙКАЯ ЛЕНТА: 1; \nПластиковые отходы: 5; ",,,,
quest_scrap_ulmExtensionCable,,Quest Info,KgNone,"Удлинитель",,,,
quest_scrap_ulmExtensionCable_subtitle,,Quest Info,KgNone,"Удлинитель",,,,
quest_scrap_ulmExtensionCable_desc,,Quest Info,KgNone,"Следующие компоненты будут извлечены на запчасти:\nПластиковые отходы: 2; \nжелезный лом: 1; Медный лом: 1; \nМедные провода: 4; ",,,,
quest_scrap_ulmExtensionCable_offer,,Quest Info,KgNone,"После более тщательного изучения Следующие компоненты будут извлечены на запчасти:\nПластиковые отходы: 2; \nжелезный лом: 1; Медный лом: 1; \nМедные провода: 4; ",,,,
quest_scrap_ulmTVRemote,,Quest Info,KgNone,"Пульт",,,,
quest_scrap_ulmTVRemote_subtitle,,Quest Info,KgNone,"Пульт",,,,
quest_scrap_ulmTVRemote_desc,,Quest Info,KgNone,"Следующие компоненты будут извлечены на запчасти:\nПластиковые отходы: 2; \nжелезный лом: 1; Медный лом: 1; \nМедные провода: 1; Литиевые батарейки: 1; \nТранзистор: 1; Конденсаторы: 2; \nПереключатель: 1; Диод: 1; ",,,,
quest_scrap_ulmTVRemote_offer,,Quest Info,KgNone,"После более тщательного изучения Следующие компоненты будут извлечены на запчасти:\nПластиковые отходы: 2; \nжелезный лом: 1; Медный лом: 1; \nМедные провода: 1; Литиевые батарейки: 1; \nТранзистор: 1; Конденсаторы: 2; \nПереключатель: 1; Диод: 1; ",,,,
quest_scrap_ulmCalculator,,Quest Info,KgNone,"Калькулятор",,,,
quest_scrap_ulmCalculator_subtitle,,Quest Info,KgNone,"Калькулятор",,,,
quest_scrap_ulmCalculator_desc,,Quest Info,KgNone,"Следующие компоненты будут извлечены на запчасти:\nПластиковые отходы: 3; \nжелезный лом: 1; Медный лом: 1; \nМедные провода: 1; Литиевые батарейки: 1; \nТранзистор: 1; Конденсаторы: 1; ",,,,
quest_scrap_ulmCalculator_offer,,Quest Info,KgNone,"После более тщательного изучения Следующие компоненты будут извлечены на запчасти:\nПластиковые отходы: 3; \nжелезный лом: 1; Медный лом: 1; \nМедные провода: 1; Литиевые батарейки: 1; \nТранзистор: 1; Конденсаторы: 1; ",,,,
quest_scrap_ulmCDPlayer,,Quest Info,KgNone,"СD Плеер",,,,
quest_scrap_ulmCDPlayer_subtitle,,Quest Info,KgNone,"СD Плеер",,,,
quest_scrap_ulmCDPlayer_desc,,Quest Info,KgNone,"Следующие компоненты будут извлечены на запчасти:\nПластиковые отходы: 3; \nжелезный лом: 1; Медный лом: 1; \nМедные провода: 1; Печатная плата: 1; \nЛитиевые батарейки: 1; Малый электродвигатель: 1; \nТранзистор: 3; Конденсаторы: 3; \nПереключатель: 1; Диод: 1; ",,,,
quest_scrap_ulmCDPlayer_offer,,Quest Info,KgNone,"После более тщательного изучения Следующие компоненты будут извлечены на запчасти:\nПластиковые отходы: 3; \nжелезный лом: 1; Медный лом: 1; \nМедные провода: 1; Печатная плата: 1; \nЛитиевые батарейки: 1; Малый электродвигатель: 1; \nТранзистор: 3; Конденсаторы: 3; \nПереключатель: 1; Диод: 1; ",,,,
quest_scrap_ulmMolecularAnalyzer,,Quest Info,KgNone,"Молекулярный анализатор",,,,
quest_scrap_ulmMolecularAnalyzer_subtitle,,Quest Info,KgNone,"Молекулярный анализатор",,,,
quest_scrap_ulmMolecularAnalyzer_desc,,Quest Info,KgNone,"Следующие компоненты будут извлечены на запчасти:\nПластиковые отходы: 10; \nжелезный лом: 1; Медный лом: 1; \nМедные провода: 4; Печатная плата: 1; \nЛитиевые батарейки: 1; Малый электродвигатель: 2; \nТранзистор: 4; Конденсаторы: 6; \nПереключатель: 2; Диод: 1; \nПлавкий предохранитель: 1; Резистор: 4; ",,,,
quest_scrap_ulmMolecularAnalyzer_offer,,Quest Info,KgNone,"После более тщательного изучения Следующие компоненты будут извлечены на запчасти:\nПластиковые отходы: 10; \nжелезный лом: 1; Медный лом: 1; \nМедные провода: 4; Печатная плата: 1; \nЛитиевые батарейки: 1; Малый электродвигатель: 2; \nТранзистор: 4; Конденсаторы: 6; \nПереключатель: 2; Диод: 1; \nПлавкий предохранитель: 1; Резистор: 4; ",,,,
quest_scrap_ulmVacuumCleaner,,Quest Info,KgNone,"Пылесос",,,,
quest_scrap_ulmVacuumCleaner_subtitle,,Quest Info,KgNone,"Пылесос",,,,
quest_scrap_ulmVacuumCleaner_desc,,Quest Info,KgNone,"Следующие компоненты будут извлечены на запчасти:\nПластиковые отходы: 10; \nжелезный лом: 6; Медные провода: 4; \nПечатная плата: 1; Литиевые батарейки: 1; \nБольшой электромотор: 1; Транзистор: 4; \nКонденсаторы: 6; Переключатель: 1; \nПлавкий предохранитель: 1; Резистор: 8; ",,,,
