Key,Source,Context,Changes,English,French,German,Klingon,Spanish
quest,,Category,KgNone,ÒAØAHÜE,Quête,Quest,,Misión
challenge,,Category,KgNone,ÜCÚ¾TAHÜE,Défi,Herausforderung,,Desafío
treasure,,Category,KgNone,COKPOBÜ¼E,Trésor,Schatz,,Tesoros
bonus,,Category,KgNone,ØOÚOÅHÜTEÅÓHO,Bonus,Bonus,,Bonos
questChain,,Category,KgNone,CEPÜ¥ ÒAØAHÜÑ,Série de quêtes,Questserie,,Cadena de misiones
difficulty_veryeasy,,Difficulty,KgNone,OÄEHÓ ÅEÕKO,Très facile,Sehr einfach,,Muy fácil
difficulty_easy,,Difficulty,KgNone,ÅEÕKO,Facile,Einfach,,Fácil
difficulty_medium,,Difficulty,KgNone,CPEØHE,Moyenne,Mittel,,Medio
difficulty_hard,,Difficulty,KgNone,T¥ÆEÅO,Difficile,Schwierig,,Difícil
difficulty_insane,,Difficulty,KgNone,HEBOÒMOÆHO,Extrême,Irre,,Demente
started,,Keywords,KgNone,HAÄATO,En cours,Begonnen,,Empezada
completed,,Keywords,KgNone,ÒABEP½EHO,Terminée,Abgeschlossen,,Completada
failed,,Keywords,KgNone,ÚPOBAÅEHO,Échec,Fehlgeschlagen,,Fallida
optional,,Keywords,KgNone,HEOÁ¥ÒATEÅÓHO,Facultative,Optional,,Opcional
RewardTypeQuest,,Keywords,KgNone,HAÕPAØA,Récompense,Belohnung,,Recompensa
RewardTypeChainQuest,,Keywords,KgNone,CEPÜ¥ HAÕPAØ,Récompense de série,Serienbelohnung,,Cadena de recompensas
ObjectiveAnimalKill_keyword,,Keywords,KgNone,ÝÁÜTÓ,Tuer,Töten,,Mata
ObjectiveAssemble_keyword,,Keywords,KgNone,COÁPATÓ,Assembler,Zusammensetzen,,Ensambla
ObjectiveBlockPickup_keyword,,Keywords,KgNone,BÒ¥TÓ,Ramasser,Aufheben,,Recoge
ObjectiveBlockPlace_keyword,,Keywords,KgNone,PAÒMECTÜTÓ,Placer,platziert,,Coloca
ObjectiveBlockUpgrade_keyword,,Keywords,KgNone,ÝÅÝÄ½ÜTÓ,Améliorer,aufgewertet,,Mejora
ObjectiveBuff_keyword,,Keywords,KgNone,ÚOÅÝÄÜTÓ,Obtenir,Erhalten,,Consigue
ObjectiveCraft_keyword,,Keywords,KgNone,CØEÅATÓ,Fabriquez,gefertigt,,Fabrica
ObjectiveFetch_keyword,,Keywords,KgNone,COÁPATÓ,Collectez,gesammelt,,Reúne
ObjectiveGoto_keyword,,Keywords,KgNone,HAÑTÜ {0},,,,
ObjectiveExchangeItemFrom_keyword,,Keywords,KgNone,ÒAÚOÅHÜTÓ,Remplir,Füllen,,Llena
ObjectiveOpenWindow_keyword,,Keywords,KgNone,OTKP¾TÓ OKHO «{0}»,Ouvrir la fenêtre {0},Öffne {0}-Fenster,,Abre {0} ventana(s)
ObjectiveRepair_keyword,,Keywords,KgNone,ÚOÄÜHÜTÓ,Réparer,Reparieren,,Repara
ObjectiveScrap_keyword,,Keywords,KgNone,ÚEPEPAÁOTATÓ,Recycler,Zerlegen,,Desguaza
ObjectiveSpendSkillPoints_keyword,,Keywords,KgNone,ÚOTPATÜTÓ {0} OÄKOB HAB¾KA,Acheter {0} niveau(x) de compétence,Kaufe {0} Fertigkeitslevel(s),,Compra {0} nivel(es) de habilidad
ObjectiveTime_keyword,,Keywords,KgNone,BPEM¥,Durée,Zeit,,Tiempo
ObjectiveTreasureChest_keyword,,Keywords,KgNone,HAÑTÜ COKPOBÜ¼E,Trésor trouvé,Schatz gefunden,,Tesoro encontrado
ObjectiveWear_keyword,,Keywords,KgNone,HAØETÓ,Porter,getragen,,Vestir
ObjectiveZombieKill_keyword,,Keywords,KgNone,ÝÁÜTÓ,Tuer,Töten,,Mata
RequirementBuff_keyword,,Keywords,KgNone,Ù®®EKT,Effet,Effekt,,Efecto
RequirementHolding_keyword,,Keywords,KgNone,ÜCÚOÅÓÒOBATÓ,Avec,Unter Verwendung von,,En uso
RequirementLevel_keyword,,Keywords,KgNone,ÝPOBEHÓ,Niveau,Level,,Nivel
RequirementWearing_keyword,,Keywords,KgNone,HAØETÓ,Porter,Tragen,,Vestir
RewardExp_keyword,,Keywords,KgNone,OÚ,EXP,ERF,,EXP
RewardLevel_keyword,,Keywords,KgNone,ÝPOBEHÓ,Niveau,Level,,Nivel
RewardQuest_keyword,,Keywords,KgNone,HOBOE ÒAØAHÜE,Nouvelle quête,Neue Quest,,Nueva misión
RewardRecipe_keyword,,Keywords,KgNone,OTKP¾T PEÇEÚT,Composition déverrouillée,Rezept freigeschaltet,,Receta desbloqueada
RewardSkill_keyword,,Keywords,KgNone,HAB¾K,Compétence,Fertigkeit,,Habilidad
RewardSkillPoint_keyword,,Keywords,KgNone,OÄKO HAB¾KOB,Point de compétence,Fertigkeitspunkt,,Punto de habilidad
requirementGroupFireaxe,,Requirement Group,KgNone,ÜMETÓ ÚOÆAPH¾Ñ TOÚOP,Tenir une hache de pompier,Feueraxt halten,,Sostener un hacha de incendio
requirementGroupShotgun,,Requirement Group,KgNone,ÜMETÓ ØPOÁOBÜK,Tenir un fusil à pompe,Schrotflinte halten,,Sostener una escopeta
tutorialTipQuest01,,Popup Tip,KgNone,"ØOPOÕOÑ ØPÝÕ,\n\nÚÝCTO½Ó MOÆET Á¾TÓ ÁECÚO¼AØH¾M MECTOM, Ü ÚOXOÆE, ÄTO BAM MOÆET ÚPÜÕOØÜTÓC¥ Å¶ÁA¥ ÚOMO¼Ó. ÙTO KPATKOE PÝKOBOØCTBO ÚOMOÆET BAM B¾ÆÜTÓ. ECÅÜ B¾ ÒABEP½ÜTE EÕO, M¾ MOÕÅÜ Á¾ BÒ¥TÓ BAC B HOB¾Ñ ½TAT. ÚOCEÅEHÜE «ÁEÅA¥ PEKA», OHO CÝ¼ECTBÝET Ü ÁEÒOÚACHO.\n\nÝØAÄÜ, HOÑ","Camarade,\n\nCes terres désolées peuvent être impitoyables et tu sembles avoir besoin d'aide. Tu trouveras ci-joint un petit guide de survie. Si tu te débrouilles bien, tu rejoindras peut-être nos rangs. Le hameau de la Rivière blanche existe, et il est sûr.\n\nBonne chance, Noah","Lieber Freund!\n\nDas Ödland kann gnadenlos sein und du siehst aus, als könntest du etwas Hilfe gebrauchen. Anbei findest du eine kurze Anleitung, die dir beim Überleben hilft. Wenn du sie abschließt, nehmen wir vielleicht einen neuen Bürger auf. Die Siedlung von White River gibt es wirklich und sie ist sicher.\n\nViel Glück! Noah",,"Querido/a amigo/a:\n\nEl páramo puede ser un sitio peligroso y parece que necesitas una mano. Encontrarás una pequeña guía adjunta para ayudarte a sobrevivir. Si la completas, puede que te aceptemos como un nuevo ciudadano. El asentamiento Río Blanco es real y seguro.\n\nBuena suerte, Noah."
tutorialTipQuest02,,Popup Tip,KgNone,"OCHOB¾ B¾ÆÜBAHÜ¥ - BA½E AKTÜBHOE ÒAØAHÜE. CTATÝC ÒAØAHÜ¥ OTOÁPAÆAETC¥ B «OÁOÒPEBATEÅE ÇEÅEÑ», HAXOØ¥¼EMC¥ B ÚPABOÑ BEPXHEÑ ÄACTÜ ÙKPAHA. ØÅ¥ ÚOÅÝÄEHÜ¥ ØOÚOÅHÜTEÅÓHOÑ ÜH®OPMAÇÜÜ ÚO ÒAØAHÜ¥M OTKPOÑTE BA½ ÜHBEHTAPÓ Ü ÚEPEÑØÜTE B MEH¶ «ÒAØAHÜ¥».","La quête « Les bases de la survie » est active. Le statut de la quête s'affiche dans le suivi des objectifs, en haut à droite de l'écran. Pour plus d'informations sur les quêtes, accédez à votre inventaire et ouvrez le menu des quêtes.","„Das 1x1 des Überlebens“ ist deine aktive Quest. Der Status der Quest ist oben rechts über den Ziel-Tracker einsehbar. Öffne dein Inventar und dann das Quest-Menü, um mehr über Quests zu erfahren.",,"Tu misión activa es supervivencia básica. El estado de la misión se muestra en el indicador de objetivos, en la parte superior derecha de la pantalla. Accede a tu inventario y navega por el menú misiones para obtener más información sobre éstas."
skillPointTip,,Popup Tip,KgNone,"B¾ ÒAPAÁOTAÅÜ «OÄKO HAB¾KA». ØÅ¥ TOÕO, ÄTOÁ¾ ÚOTPATÜTÓ EÕO, OTKPOÑTE BA½ ÜHBEHTAPÓ Ü ÚEPEÑØÜTE B MEH¶ «HAB¾KÜ», ÒATEM B¾ØEÅÜTE HÝÆH¾Ñ HAB¾K Ü ÚPÜOÁPETÜTE EÕO.","Vous avez gagné un point de compétence en terminant la quête « Les bases de la survie ». Pour le dépenser, accédez à votre inventaire et ouvrez le menu des compétences, puis sélectionnez la compétence ou l'avantage de votre choix et procédez à l'achat.","Für den Abschluss der Quest „Das 1x1 des Überlebens“ hast du einen Fertigkeitspunkt erhalten. Verwende ihn über das Fertigkeiten-Menü in deinem Inventar, indem du dort die gewünschte Fertigkeit oder Eigenschaft auswählst und sie kaufst.",,"Ganaste un Punto de habilidad por completar la misión Supervivencia básica. Para gastarlo, accede a tu Inventario y navega al menú de Habilidades. Luego, selecciona la habilidad o beneficio deseado y cómpralo."
quest_BasicSurvival,,Quest Info,KgNone,OCHOB¾ B¾ÆÜBAHÜ¥,Les bases de la survie,Das 1x1 des Überlebens,,Supervivencia básica
quest_BasicSurvival1,,Quest Info,KgNone,OCHOB¾ B¾ÆÜBAHÜ¥ 1/8,Les bases de la survie 1/8,Das 1x1 des Überlebens 1/8,,Supervivencia básica 1/8
quest_BasicSurvival1_subtitle,,Quest Info,KgNone,CØEÅATÓ KAMEHH¾Ñ TOÚOP,Fabriquez une hache de pierre,Fertige eine Steinaxt,,Fabrica un hacha de piedra.
quest_BasicSurvival1_description,,Quest Info,KgNone,"ÜÒÕOTOBÅEHÜE KAMEHHOÕO TOÚOPA ÚOMOÆET BAM ÒA¼Ü¼ATÓC¥ Ü COÁÜPATÓ ÜHÕPEØÜEHT¾ ØÅ¥ PEMECÅA. COÁEPÜTE ÜHÕPEØÜEHT¾, ÝØAP¥¥ ÚO TPABE, KAMH¶ ÜÅÜ ØEPEB¥HH¾M OÁÖEKTAM. B¾ TAKÆE MOÆETE ÚOØOÁPATÓ MAÅEHÓKÜE KAMHÜ, CMOTP¥ HA HÜX Ü C ÚOMO¼Ó¶ ØEÑCTBÜ¥ «BÒ¥TÓ». ÚOCÅE TOÕO, KAK COÁEPËTE BCE ÜHÕPEØÜEHT¾, OTKPOÑTE ÜHBEHTAPÓ Ü HAÑØÜTE KAMEHH¾Ñ TOÚOP B PAÒØEÅE «OCHOBHOE» OKHA «PEMECÅO». CØEÅAÑTE KAMEHH¾Ñ TOÚOP.","Fabriquez une hache de pierre pour vous défendre et collecter des composants. Collectez des composants en détruisant de l'herbe, des pierres et des objets en bois. Vous pouvez également ramasser de petites pierres en les regardant et en utilisant l'action de ramasser. Une fois les composants acquis, rendez-vous dans l'inventaire et cherchez la hache de pierre dans la catégorie de base de la fenêtre de fabrication. Fabriquez une hache de pierre.","Fertige eine Steinaxt, um dich besser zu verteidigen, und sammle Fertigungszutaten dafür. Sammle die Zutaten, indem du Gras, Steine oder Holzobjekte angreifst. Du kannst auch kleine Steine aufheben, indem du sie ansiehst und die Aufheben-Aktion verwendest. Wenn du die Zutaten hast, öffne dein Inventar und wähle im Fertigungs-Fenster in der Kategorie „Grundlagen“ die Steinaxt aus. Fertige eine Steinaxt.",,"Fabrica un hacha de piedra para ayudarte a defenderte y reunir ingredientes para fabricar. Ataca la hierba, piedras u objetos de madera para reunir los ingredientes. También puedes recoger piedras pequeñas si las miras y usas la acción Recoger. Una vez que tengas los ingredientes, accede al Inventario y localiza el Hacha de piedra en la categoría Básico de la ventana de Fabricación. Fabrica un hacha de piedra."
quest_BasicSurvival2,,Quest Info,KgNone,OCHOB¾ B¾ÆÜBAHÜ¥ 2/8,Les bases de la survie 2/8,Das 1x1 des Überlebens 2/8,,Supervivencia básica 2/8
quest_BasicSurvival2_subtitle,,Quest Info,KgNone,CØEÅATÓ OØEÆØÝ ÜÒ BOÅOKOH,Fabriquer un vêtement en fibres végétales,Fertige Kleidung aus Pflanzenfasern,,Fabrica ropa de fibra vegetal.
