Key,Source,Context,Changes,English,French,German,Klingon,Spanish
adobeGroupDesc,blocks,Block,KgNone,"В пустынных районах савана легко сделать этот блок и это не требует никаких специальных инструментов.",,,,
adobePeachBlock,blocks,Block,KgNone," Adobe Персик Блок ",,,,
adobePeachCNRFull,blocks,Block,KgNone,"Adobe Персик Полный угол",,,,
adobePeachCNRInside,blocks,Block,KgNone,"Adobe Персик Внутренний Угол",,,,
adobePeachCNRRamp,blocks,Block,KgNone,"Adobe Персик Угол Рампы",,,,
adobePeachDrywallBaseboardBlock,blocks,Block,KgNone,"Adobe Персик Гипсокартон Плинтусный Блок",,,,
adobePeachDrywallBlock,blocks,Block,KgNone,"Adobe Персик Гипсокартон Блок",,,,
adobePeachPillar100,blocks,Block,KgNone,"Adobe Персик Столб 100",,,,
adobePeachPillar50,blocks,Block,KgNone,"Adobe Персик Столб 50",,,,
adobePeachPlate,blocks,Block,KgNone,"Adobe Персик Плита",,,,
adobePeachPole,blocks,Block,KgNone,"Adobe Персик Брус",,,,
adobePeachRamp,blocks,Block,KgNone,"Adobe Персик рампа",,,,
adobePeachWedge,blocks,Block,KgNone,"Adobe Персик Клин",,,,
adobePeachWedgeTip,blocks,Block,KgNone,"Adobe Персик Клин ",,,,
adobeTanBlock,blocks,Block,KgNone,"Adobe Tan Block",,,,
adobeTanRamp,blocks,Block,KgNone,"Adobe Tan Ramp",,,,
adobeWhiteBlock,blocks,Block,KgNone,"Adobe White Block",,,,
adobeWhiteCNRFull,blocks,Block,KgNone,"Adobe Белый Полный Уголок",,,,
adobeWhiteCNRInside,blocks,Block,KgNone,"Adobe белый внутри Уголок",,,,
adobeWhiteCNRRamp,blocks,Block,KgNone,"Adobe White Ramp Corner",,,,
adobeWhiteDrywallBaseboardBlock,blocks,Block,KgNone,"Adobe Белый Гипсокартон Плинтусный Блок",,,,
adobeWhiteDrywallBlock,blocks,Block,KgNone,"Adobe Белый Гипсокартон Блок",,,,
adobeWhitePillar100,blocks,Block,KgNone,"Adobe Белый столб 100",,,,
adobeWhitePillar50,blocks,Block,KgNone,"Adobe Белый Столб 50",,,,
adobeWhitePlate,blocks,Block,KgNone,"Adobe White Plate",,,,
adobeWhitePole,blocks,Block,KgNone,"Adobe Белый Брус",,,,
adobeWhitePyramid,blocks,Block,KgNone,"Adobe Белая Пирамида",,,,
adobeWhiteRamp,blocks,Block,KgNone,"Adobe White Ramp",,,,
adobeWhiteTrimCNRFull,blocks,Block,KgNone,"Adobe Белый отделка Угловой Полное",,,,
adobeWhiteTrimCNRInside,blocks,Block,KgNone,"Adobe Белый Отделка Уголок Внутри",,,,
adobeWhiteTrimRamp,blocks,Block,KgNone,"Adobe белой отделкой Ramp",,,,
adobeWhiteWedge,blocks,Block,KgNone,"Adobe Белый Клин",,,,
adobeWhiteWedgeTip,blocks,Block,KgNone,"Adobe Белый Клин Подсказка",,,,
airConditioner,blocks,Block,KgNone,"Кондиционер",,,,
alphabetLetterSignGroupDesc,blocks,Block,KgNone,"Создавать свои собственные рекламные щиты с этими одиночными знаками письма.",,,,
asphaltBlock,blocks,Block,KgNone,"Асфальт производится в бетономешалке и является распространенным материалом для строительства или ремонта дорог.",,,,
asphaltDrywallBlock,blocks,Block,KgNone,"Асфальт Гипсокартон Блок",,,,
asphaltRamp,blocks,Block,KgNone,"Асфальт Ramp",,,,
asphaltShingleCNRInside,blocks,Block,KgNone,"Асфальт Уголок Внутри",,,,
asphaltShinglesCNRFull,blocks,Block,KgNone,"Асфальт  Угл Полный",,,,
asphaltWedge,blocks,Block,KgNone,"Асфальт Клин",,,,
asphaltWedgeTip,blocks,Block,KgNone,"Асфальт Клин ",,,,
awningGreenBlock,blocks,Block,KgNone,"Навес Зеленый Блок",,,,
awningGreenCNRFull,blocks,Block,KgNone,"Навес Зеленый полный угол",,,,
awningGreenCNRInside,blocks,Block,KgNone,"Навес Зеленый внутриний угол",,,,
awningGreenCNRRound,blocks,Block,KgNone,"Навес Зеленый круглый угол",,,,
awningGreenCNRRoundTop,blocks,Block,KeyTrunk FrNone GrNone KgNone SpNone,"Навес Зеленый уголок верх",,,,
awningGreenGable,blocks,Block,KgNone,"Навес Зеленый Гейбл",,,,
awningGreenPyramid,blocks,Block,KgNone,"Навес Зеленая Пирамида",,,,
awningGreenRamp,blocks,Block,KgNone,"Навес Зеленый Скат",,,,
awningGroupDesc,blocks,Block,KgNone,"Тент изготовлен из ткани.",,,,
awningRedBlock,blocks,Block,KgNone,"Навес Красный",,,,
awningRedCNRFull,blocks,Block,KgNone,"Пологи Красный уголок Full",,,,
