eighthBlock,Source,Context,Max Line Width,English,Francais,German
Awning1,blocks,Block,,Тент 1(клин),,
Awning2,blocks,Block,,Тент 2(клин),,
barbedFence,blocks,Block,,Заграждение из Колючки,,
barbedWireCrafted,blocks,Block,,Колючка,,
barnWood,blocks,Block,,Сарайное Дерево,,
bed01,blocks,Block,,Кровать,,
bed01Frame,blocks,Block,,Каркас кровати,,
bedRoll01_1,blocks,Block,,Спальник,,
bedRoll01_2,blocks,Block,,Спальник,,
mushrooms,blocks,Block,,Грибы,,
blueberry,blocks,Block,,Черника,,
blueberryYoung,blocks,Block,,Молодая черника,,
boardedWindows,blocks,Block,,Рама,,
brick,blocks,Block,,Кирпич,,
brickAsphalt,blocks,Block,,Асфальт,,
brickDecayed,blocks,Block,,Разрушенный кирпич,,
brickDecayedAsphalt,blocks,Block,,Разрушенный асфальт,,
brickPaver,blocks,Block,,Кирпичная Кладка,,
brickPlasterBaseboard,blocks,Block,,Штукатурка(Основание),,
brickPlasterMiddle,blocks,Block,,Штукатурка(Середина),,
brickPlasterTop,blocks,Block,,Штукатурка(верх),,
brownGrassDiagonal,blocks,Block,,Трава,,
candleTable,blocks,Block,,Свеча,,
cashRegisterEmpty,blocks,Block,,Касса,,
chair01,blocks,Block,,Старый Стул,,
cinderBlocks01,blocks,Block,,Шлакоблок,,
cinderBlocks02,blocks,Block,,Шлакоблок,,
cinderBlocks03,blocks,Block,,Шлакоблок,,
tableWood,blocks,Block,,Деревянный стол,,
tableRedwood,blocks,Block,,Деревянный стол 2,,
tableScrapIron,blocks,Block,,Стол из металолома,,
tableWhitewood,blocks,Block,,Деревянный стол 3,,
tableIron,blocks,Block,,Металический стол,,
coalOre,blocks,Block,,Угольная Руда,,
cobblestone,blocks,Block,,Булыжники,,
coffeeGrowing,blocks,Block,,Семя Кофе,,
coffeePlant,blocks,Block,,Куст Кофе,,
coffeeSprout,blocks,Block,,Росток Кофе,,
concrete,blocks,Block,,Бетон,,
concreteBlock,blocks,Block,,Кирпичи,,
concreteDistorted,blocks,Block,,Искаженный бетон,,
concreteReinforced,blocks,Block,,Железобетон,,
concreteSlope,blocks,Block,,Бетонный(Угол),,
concreteTileBrown,blocks,Block,,Плитка на бетоне 1,,
concreteTileGreen,blocks,Block,,Плитка на бетоне 2,,
cornerFullWedgeAsphaltShingles,blocks,Block,,Асфальт(угол),,
cornerFullWedgeConcrete,blocks,Block,,Бетон(угол),,
cornerFullWedgeShinglesOld,blocks,Block,,Старая черепица(угол),,
cornerFullWedgeShinglesWood,blocks,Block,,Битум&Асфальт(Клин),,
cornerHouseShinglesAsphalt,blocks,Block,,Битум&Асфальт,,
cornerHouseShinglesOld,blocks,Block,,Старая черепица(угол),,
cornerHouseShinglesWood,blocks,Block,,Черепица,,
cornerWedgeConcrete,blocks,Block,,Бетон Клин,,
CorregatedMetal,blocks,Block,,Железный Блок,,
cottonYoung,blocks,Block,,Коттен Молодой,,
cutLog,blocks,Block,,Распиленное Дерево,,
desertGround,blocks,Block,,Пустынный Грунт,,
desk01,blocks,Block,,Деревянный стол,,
desk02,blocks,Block,,Металлический Письменный Стол,,
driftwood,blocks,Block,,Коряга,,
driftwood2,blocks,Block,,Коряга,,
eighthBlock,blocks,Block,,1/8 Бетонный блок,,
faucet02,blocks,Block,,Смеситель,,
faucet04,blocks,Block,,Смеситель,,
faucetBrass02,blocks,Block,,Латунный смеситель,,
flagstoneDrywall,blocks,Block,,Каменная плита,,
flagstoneDrywallBaseboard,blocks,Block,,Гипсокартон/Плитка,,
garageDoor1Centered,blocks,Block,,Гаражная дверь,,
gasPump,blocks,Block,,Бензонасос,,
glass,blocks,Block,,Стекло,,
graveStone1,blocks,Block,,Могильная плита,,
halfBlockBrickMetal,blocks,Block,,1/2 Кирпич/Металл блок,,
halfBlockConcrete,blocks,Block,,1/2 Бетонный блок,,
halfBlockConcreteAsphalt,blocks,Block,,1/2 Асфальт блок,,
halfBlockGravel,blocks,Block,,1/2 Гравий Блок,,
halfBlockMetalAsphalt,blocks,Block,,1/2Металл\Асфальт блок,,
hayBale,blocks,Block,,Стог сена,,
ironBars,blocks,Block,,Слиток железа,,
ironOre,blocks,Block,,Железная руда,,
ironWall,blocks,Block,,Металлическая Стена,,
keystone,blocks,Block,,Блок защиты,,
ladder,blocks,Block,,Лестница,,
ladderMetal,blocks,Block,,Металлическая лестница,,
leadOre,blocks,Block,,Свинцовая руда,,
logCabin,blocks,Block,,Обработанные доски,,
mattress,blocks,Block,,Изогнутый Матрац,,
mattressFlat,blocks,Block,, Матрац,,
mattressHalf,blocks,Block,, Матрац Половина,,
metalRivet,blocks,Block,,Клепаный металл,,
metalTrussing,blocks,Block,,Металлокострукция,,
officeChair01,blocks,Block,,Стул,,
oilBarrel,blocks,Block,,Бочка с топливом,,
oldChair,blocks,Block,,Стул,,
oldWood,blocks,Block,,Старое Дерево,,
oldWoodPillar,blocks,Block,,Деревянная Колонна,,
painting01,blocks,Block,,Картина,,
painting02,blocks,Block,,Картина,,
plant02,blocks,Block,,Растение,,
plantAloe,blocks,Block,,Алоэ,,
plantChrysanthemum,blocks,Block,,Растение Хризантемы ,,
plantedCornSeed,blocks,Block,,Семена Кукурузы,,
plantedCotton,blocks,Block,,Семена Хлопка,,
plateBlock,blocks,Block,,Плита(Блок),,
poleBlock,blocks,Block,,Столб,,
poleBlockOldWood,blocks,Block,,Деревянный столб 1,,
poleBlockWoodPainted1,blocks,Block,,Деревянный столб 2,,
poleBlockWroughtIron,blocks,Block,,Металический столб,,
potatoes,blocks,Block,,Картофель,,
potatoesSprout,blocks,Block,,Росток Картофель,,
potatoesYoung,blocks,Block,,Картофель молодой,,
pyramidConcrete,blocks,Block,,Бетон(пирамида),,
pyramidShinglesAsphalt,blocks,Block,,черепица(Пирамида),,
pyramidShinglesOld,blocks,Block,,Старая черепица(пирамида),,
pyramidShinglesWood,blocks,Block,,черепица(пирамида),,
quarterBlock,blocks,Block,,1/4 Бетонный блок,,
rebar,blocks,Block,,Арматура,,
redWoodPillar,blocks,Block,,Деревянный столб 2,,
reinforcedMetalSiding,blocks,Block,,Металлическая Обивка,,
sand,blocks,Block,,Песок,,
sandbags,blocks,Block,,Мешки с песком,,
scrapMetalPile,blocks,Block,,Металлолом,,
scrapMetalWall,blocks,Block,,Металлолом(стена),,
sectionalArm,blocks,Block,, Диван(Спинка),,
sectionalArm2,blocks,Block,,Диван 2(Спинка),,
sectionalCorner,blocks,Block,,Диван(Угол),,
sectionalCorner2,blocks,Block,,Диван2(Угол),,
sectionalMiddle,blocks,Block,,Диван(Середина),,
sectionalMiddle2,blocks,Block,,Диван 2(Середина),,
shinglesWood,blocks,Block,,Деревянная черепица,,
shoppingBasketEmpty,blocks,Block,,Корзина,,
shoppingCartEmpty,blocks,Block,,Корзина,,
sidingBlueOldWood,blocks,Block,,Синий сайдинг,,
sidingBluePlasterBaseboard,blocks,Block,,Синий сайдинг(основание),,
sidingBluePlasterMiddle,blocks,Block,,Синий сайдинг(середина),,
sidingBluePlasterTop,blocks,Block,, Синий сайдинг(верх),,
sidingGreenPlasterBaseboard,blocks,Block,,Зеленый сайдинг(основание),,
sidingGreenPlasterMiddle,blocks,Block,,Зеленый сайдинг(середина),,
sidingGreenPlasterTop,blocks,Block,,Зеленый сайдинг(верх),,
sidingTanPlasterBaseboard,blocks,Block,,Рыжий сайдинг(основание),,
