"Key","Source","Context","Changes","English","French","German","Klingon","Spanish"
"bonus","","Category","KgNone","ДОПОЛНИТЕЛЬНО",,,,
"challenge","","Category","KgNone","ИСПЫТАНИЕ",,,,
"quest","","Category","KgNone","ЗАДАНИЕ",,,,
"questChain","","Category","KgNone","СЕРИЯ ЗАДАНИЙ",,,,
"treasure","","Category","KgNone","СОКРОВИЩЕ",,,,
"challenge_buythefarm","","Challenge Info","KgNone","ПОКУПКА ФЕРМЫ",,,,
"challenge_buythefarm_offer","","Challenge Info","EnChanged KgNone","ИТАК, ВЫЖИВШИЙ, Я ДУМАЮ, ЧТО ТЫ НАШЁЛ ОСТАВЛЕННУЮ НАМИ ДЛЯ ТЕБЯ ЗАПИСКУ. СЕЙЧАС ЭТО КОТ В МЕШКЕ, ПОЭТОМУ ДАВАЙ ПЕРЕЙДЁМ СРАЗУ К ДЕЛУ. МЫ НАБЛЮДАЕМ ЗА ТОБОЙ, И ДУМАЮ, ЧТО ТЫ МОГ БЫ СТАТЬ ХОРОШИМ НОВОБРАНЦЕМ. НО ПРЕЖДЕ ЧЕМ МЫ ОТКРОЕМ НАШИ ДВЕРИ НЕЗНАКОМЦ",,,,
"challenge_buythefarm_subtitle","","Challenge Info","KgNone","УБИТЬ НЕСКОЛЬКО ЖИВОТНЫХ",,,,
"challenge_copanattitude","","Challenge Info","KgNone","ТЁРКИ С КОПОМ",,,,
"challenge_copanattitude_offer","","Challenge Info","KgNone","ПУТЕШЕСТВЕННИК, ТОТ ФАКТ, ЧТО ТЫ ЧИТАЕШЬ ЭТО, НЕ СЛУЧАЙНОСТЬ. МОИ ПАРНИ УЖЕ ДАВНО НАБЛЮДАЮТ ЗА ТОБОЙ, И МЫ ВСЕГДА ИЩЕМ НОВОБРАНЦЕВ, КОТОРЫЕ ВСЁ ЕЩЁ НА ЖИВОЙ СТОРОНЕ ДЕЛА. НО ПРЕЖДЕ ЧЕМ МЫ ВСЕ СБЛИЗИМСЯ, МЫ ХОТИМ, ЧТОБЫ ТЫ СДЕЛАЛ ОДНО ДЕЛЬЦЕ, ЧТОБЫ УВИД",,,,
"challenge_copanattitude_subtitle","","Challenge Info","KgNone","УБИТЬ НЕСКОЛЬКО ЗОМБИ-ПОЛИЦЕЙСКИХ",,,,
"challenge_dogdaysareover","","Challenge Info","KgNone","СОБАЧЬИ ДНИ ЗАКОНЧИЛИСЬ",,,,
