"Key","Source","Context","Changes","English"
"airConditioner","blocks","Block","KgNone","Air Conditioner"
"airConditionVentFan","blocks","Block","New","Vent Fan"
"airConditionVentFanDouble","blocks","Block","New","Vent Fan, Double"
"alphabetLetterSignGroupDesc","blocks","Block","EnChanged","Create your own billboards with these single letter signs and numbers."
"arrowHelper","blocks","Block","New","Arrow Helper"
"arrowSlit","blocks","Block","New","Arrow Slit"
"awningBlock","blocks","Block","KeyChanged EnChanged","Awning Block"
"awningCNRFull","blocks","Block","KeyChanged EnChanged","Awning Corner Full"
"awningCNRInside","blocks","Block","KeyChanged EnChanged","Awning Corner Inside"
"awningCNRRound","blocks","Block","KeyChanged EnChanged","Awning Corner Round"
"awningCNRRoundTop","blocks","Block","New","Awning Corner Round Top"
"awningCTRSheet","blocks","Block","New","Awning Sheet Centered"
"awningGable","blocks","Block","KeyChanged EnChanged","Awning Gable"
"awningGroupDesc","blocks","Block","KgNone","An awning made from cloth.\nThis will greatly reduce fall damage."
"awningPyramid","blocks","Block","KeyChanged EnChanged","Awning Pyramid"
"awningRamp","blocks","Block","KeyChanged EnChanged","Awning Ramp"
"awningRampSheet","blocks","Block","New","Awning Ramp Sheet"
"awningRampSheetEdgeLeft","blocks","Block","New","Awning Ramp Edge Left"
"awningRampSheetEdgeRight","blocks","Block","New","Awning Ramp Edge Right"
"awningSheet","blocks","Block","New","Awning Sheet"
"barStool","blocks","Block","New","Bar Stool"
"bed01","blocks","Block","KgNone","An Old Bed"
"bed01Frame","blocks","Block","KgNone","Iron Bed Frame"
"bed02","blocks","Block","KgNone","King Size Bed"
"bedGroupDesc","blocks","Block","EnChanged","Placing it on the ground will let you spawn there when you die. It shows on your map and prevents zombie respawn. Only the last placed one will be active."
"bedroll","blocks","Block","KgNone","Bedroll"
"birdBathPlanter","blocks","Block","New","Bird Bath Planter"
"boardedWindowsSheet4","blocks","Block","KgNone","Window Boards"
"bodyBagBlack","blocks","Block","New","Body Bag Black"
"bodyBagPair","blocks","Block","New","Body Bag Pair"
"bodyBagPairMixed","blocks","Block","New","Body Bag Mixed"
"bodyBagPairYellow","blocks","Block","New","Body Bag Pair Yellow"
"bodyBagPile","blocks","Block","New","Body Bag Pile"
"bodyBagPileMix","blocks","Block","New","Body Bag Pile Mix"
"bodyBagYellow","blocks","Block","New","Body Bag Yellow"
"brickArch","blocks","Block","New","Brick Arch 2m"
"brickArchCurveBase","blocks","Block","New","brick Arch Curve Base"
"brickArchCurveFiller","blocks","Block","New","brick Arch Curve Filler"
"brickArchCurveMiddle","blocks","Block","New","brick Arch Curve Middle"
"brickArchCurveTop","blocks","Block","New","brick Arch Curve Top"
"brickArchCurveTopMiddle","blocks","Block","New","brick Arch Curve Top Middle"
"brickArchCurveTopMiddleTopper","blocks","Block","New","brick Arch Curve Top Middle Topper"
"brickArchCurveWall","blocks","Block","New","brick Arch Curve Wall"
"brickArchCurveWallCap","blocks","Block","New","brick Arch Curve Wall Cap"
"brickBlock","blocks","Block","KgNone","Bricks"
"brickBlockBaseboard1","blocks","Block","New","Brick Block Baseboard 1"
"brickBlockBaseboard4","blocks","Block","New","Brick Block Baseboard 4"
"brickBlockBaseboardChairRail1","blocks","Block","New","Brick Block Baseboard Chair Rail 1"
"brickBlockBaseboardChairRail4","blocks","Block","New","Brick Block Baseboard Chair Rail 4"
"brickBlockTileBroken01","blocks","Block","New","Brick Block, Broken Tile"
"brickCNRFull","blocks","Block","KgNone","Brick Full Corner"
"brickCNRInside","blocks","Block","KgNone","Brick Inside Corner"
"brickCNRRamp","blocks","Block","KgNone","Brick Ramp Corner"
"brickCNRRampFiller","blocks","Block","New","Brick Ramp Corner Filler"
"brickCNRRound","blocks","Block","KgNone","Brick Corner Round"
"brickCNRRoundTop","blocks","Block","New","Brick Corner Round Top"
"brickCornerstone","blocks","Block","New","Brick Cornerstone"
"brickCTRpole","blocks","Block","New","brick Pole Centered"
"brickCTRQuarter","blocks","Block","New","Brick 1/4 Block Centered"
"brickDestroyedBlock01","blocks","Block","KeyChanged","Brick Destroyed Block 01"
"brickDestroyedBlock02","blocks","Block","KeyChanged","Brick Destroyed Block 02"
"brickDestroyedBlock03","blocks","Block","KeyChanged","Brick Destroyed Block 03"
"brickGable","blocks","Block","New","brick Gable"
"brickGable1m","blocks","Block","New","Brick Gable 1m"
"brickGableInvertedHalf","blocks","Block","New","Brick Gable Inverted Half"
"brickGableInvertedQuarter","blocks","Block","New","Brick Gable Inverted Quarter"
"brickGableInvertedSteep","blocks","Block","New","Brick Gable Inverted Steep"
"brickGableQuarter","blocks","Block","New","Brick Gable Quarter"
"brickGroupDesc","blocks","Block","KgNone","Brick walls offer decent protection and can be upgraded to concrete later."
"brickHalf","blocks","Block","New","brick 1/2 Block"
"brickHalfCentered","blocks","Block","New","Brick 1/2 Block CTR"
"brickHalfCNRInside2","blocks","Block","New","Brick 1/2 Block Corner Inside 2"
"brickHalfRampStairs50","blocks","Block","New","Brick 1/2 Ramp"
"brickHalfRampStairs50Filler","blocks","Block","New","Brick 1/2 Ramp Filler"
"brickPlate","blocks","Block","KgNone","Brick Plate"
"brickPlateOffset","blocks","Block","New","Brick Plate Offset"
"brickPoleSCTR","blocks","Block","New","Brick Pole SCTR"
"brickPyramid1m","blocks","Block","New","Brick Pyramid 1m"
"brickQuarterCNR","blocks","Block","New","Brick 1/4 Corner"
"brickQuarterCNR3Way","blocks","Block","New","Brick 1/4 Corner 3Way"
"brickQuarterSCtr","blocks","Block","New","Brick 1/4 SCtr"
"brickQuarterTeeSCtr","blocks","Block","New","Brick 1/4 T SCtr"
"brickRamp","blocks","Block","KgNone","Brick Ramp"
"brickStairs25","blocks","Block","New","brick Stairs 25"
"brickStairs25CornerCNR","blocks","Block","New","Brick Stairs Corner"
"brickStairsFilledRailingLeft","blocks","Block","New","Brick Stairs, Railing Left"
"brickStairsFilledRailingRight","blocks","Block","New","Brick Stairs, Railing Right"
"brickTubeCenter","blocks","Block","New","Brick Tube 3m Center"
"brickTubeCorner","blocks","Block","New","Brick Tube 3m Corner"
"brickTunnelCenter","blocks","Block","New","Brick Tunnel 3m Center"
"brickTunnelCorner","blocks","Block","New","Brick Tunnel 3m Corner"
"brickWedge","blocks","Block","New","Brick Wedge"
"brickWedgeCNRInsideBottom","blocks","Block","New","Brick Wedge Inside Corner Bottom"
"brickWedgeCNRInsideSteepBase","blocks","Block","New","Brick Wedge Steep Inside Corner Base"
"brickWedgeCNRInsideSteepTop","blocks","Block","New","Brick Wedge Steep Inside Corner Top"
"brickWedgeCNRInsideTop","blocks","Block","New","Brick Wedge Inside Corner Top"
"brickWedgeCNRSteepBase","blocks","Block","New","Brick Wedge Steep Corner Base"
"brickWedgeCNRSteepTop","blocks","Block","New","Brick Wedge Steep Corner Top"
"brickWedgeIncline","blocks","Block","New","Brick Wedge Incline"
"brickWedgeStairs","blocks","Block","New","Brick Wedge Stairs"
"brickWedgeTip","blocks","Block","New","Brick Wedge Tip"
"brickWedgeTipCNRFullBottom","blocks","Block","New","Brick Wedge Full Corner Bottom"
"brickWedgeTipCNRFullTop","blocks","Block","New","Brick Wedge Full Corner Top"
"brickWedgeTipStairs","blocks","Block","New","Brick Wedge Tip Stairs"
"brickWindowArchTop","blocks","Block","New","brick Window Arch Top"
"brickWindowCircle","blocks","Block","New","brick Window Circle"
"brickWindowCircleCorner","blocks","Block","New","brick Window Circle Corner"
"bridgeConcreteBlock","blocks","Block","KgNone","Bridge Concrete Block"
"bridgeMetalRivetBlock","blocks","Block","KgNone","Bridge Metal Rivet Block"
"bridgeWoodBlock","blocks","Block","KgNone","Bridge Wood Block"
"buildingBlockGroupDesc","blocks","Block","New","A building block from the creative menu."
"bulletproofGlassGroupDesc","blocks","Block","New","Bulletproof Glass can be repaired but requires completely new blocks of the same type as repair material."
"burningBarrel","blocks","Block","EnChanged","Burning Barrel (POI)"
"burningBarrelDesc","blocks","Block","New","The burning barrel is an essential prop in every post-apocalyptic setting."
"burningBarrelPlayer","blocks","Block","KgNone","Burning Barrel"
"burntWoodBlock1","blocks","Block","KeyChanged EnChanged GrChanged","Burnt Wood Block 1"
"burntWoodBlock2","blocks","Block","KeyChanged EnChanged GrChanged","Burnt Wood Block 2"
"burntWoodBlock3","blocks","Block","KeyChanged EnChanged GrChanged","Burnt Wood Block 3"
"burntWoodBlock4","blocks","Block","KeyChanged EnChanged GrChanged","Burnt Wood Block 4"
"burntWoodBlock5","blocks","Block","KeyChanged EnChanged GrChanged","Burnt Wood Block 5"
"burntWoodBlock6","blocks","Block","KeyChanged EnChanged GrChanged","Burnt Wood Block 6"
"burntWoodRamp7","blocks","Block","KeyChanged EnChanged GrChanged","Burnt Wood Ramp 7"
"burntWoodWedge7","blocks","Block","KeyChanged EnChanged GrChanged","Burnt Wood Wedge 7"
"cable1","blocks","Block","KgNone","Cable1"
"candleTableLight","blocks","Block","EnChanged KgNone","Candle Table (POI)"
"candleTableLightPlayer","blocks","Block","New","Candle Table"
"candleWallLight","blocks","Block","EnChanged KgNone","Candle Wall (POI)"
"candleWallLightPlayer","blocks","Block","New","Candle Wall"
"carsRandomHelper","blocks","Block","KgNone","= Cars = Random Helper"
"carsRandomHelperDesc","blocks","Block","New","Will randomly spawn (mostly) undamaged, (rare) damaged, (very rare) car wreck"
